id;aircraft;flight_date;damage;airline;state;phase_of_flight;reported_date;bird_size;cost;feet_above_ground
2;Airplane;2000-01-01;No damage;CONTINENTAL AIRLINES;New Jersey;Take-off run;;Medium;0;0
3;Airplane;2000-01-01;No damage;UNITED AIRLINES;;;;Medium;0;
4;Airplane;2000-01-01;No damage;UNITED AIRLINES;Colorado;Climb;;Medium;0;
5;Airplane;2000-01-01;No damage;UNITED AIRLINES;Illinois;Approach;;Medium;0;
6;;2000-01-01;No damage;UNKNOWN;New York;;;Medium;0;
7;Airplane;2000-01-01;Caused damage;US CUSTOMS AND BORDER PROTECTION;Florida;En Route;;Large;0;1000
8;Airplane;2000-01-01;No damage;AMERICAN AIRLINES;;Take-off run;2000-01-01;Small;0;0
9;Airplane;2000-01-02;No damage;BUSINESS;Ohio;Landing Roll;;Small;0;0
10;Airplane;2000-01-02;No damage;BUSINESS;Florida;Approach;;Medium;0;2000
11;Airplane;2000-01-02;No damage;UNITED AIRLINES;California;Take-off run;;Small;0;0
12;Airplane;2000-01-02;No damage;DELTA AIR LINES;Utah;Landing Roll;2000-01-02;Small;0;0
13;;2000-01-02;No damage;UNKNOWN;Florida;;2000-01-02;Small;0;
14;Airplane;2000-01-02;Caused damage;BUSINESS;Florida;Approach;2000-01-06;Medium;120273;200
15;Airplane;2000-01-02;No damage;TRANS WORLD AIRLINES;Missouri;Approach;2000-02-06;Large;0;350
16;Airplane;2000-01-03;No damage;US AIRWAYS*;Tennessee;Climb;;Small;0;800
17;Airplane;2000-01-03;No damage;SOUTHWEST AIRLINES;Texas;Climb;;Medium;0;
18;Airplane;2000-01-03;Caused damage;DELTA AIR LINES;Utah;Approach;;Small;0;
19;Airplane;2000-01-03;No damage;COMAIR AIRLINES;Florida;Landing Roll;2000-01-03;;0;0
20;Airplane;2000-01-03;No damage;BUSINESS;Rhode Island;Approach;2000-01-03;;0;500
21;Airplane;2000-01-03;Caused damage;AIRTRAN AIRWAYS;Georgia;Climb;2000-01-03;Medium;0;1800
22;Airplane;2000-01-04;No damage;SOUTHWEST AIRLINES;Maryland;Climb;;Medium;0;50
23;Airplane;2000-01-04;No damage;AMERICAN AIRLINES;California;Climb;;Large;26727;100
24;Airplane;2000-01-04;No damage;SOUTHWEST AIRLINES;Texas;Approach;;Medium;0;1400
25;Airplane;2000-01-04;No damage;UNITED AIRLINES;;;;Medium;0;
26;Airplane;2000-01-04;No damage;BUSINESS;New Jersey;Climb;2000-01-04;Large;0;50
27;Airplane;2000-01-04;No damage;CONTINENTAL AIRLINES;Louisiana;Approach;2000-01-04;Small;0;100
28;Helicopter;2000-01-04;No damage;PHI INC;;Approach;2000-01-04;;0;100
29;;2000-01-04;No damage;UNKNOWN;North Carolina;;2000-01-04;Small;0;
30;Airplane;2000-01-05;No damage;CAPE AIR;Puerto Rico;Landing Roll;;;0;0
31;Airplane;2000-01-05;No damage;NORTHWEST AIRLINES;California;Take-off run;;Medium;0;0
32;Airplane;2000-01-05;No damage;MESA AIRLINES;Connecticut;Take-off run;;;0;0
33;Airplane;2000-01-05;No damage;DELTA AIR LINES;Ohio;Take-off run;2000-01-05;Medium;0;0
34;Airplane;2000-01-05;Caused damage;EXPRESSJET (CONTINENTAL EXPRS);Ohio;Take-off run;2000-01-05;Large;0;0
35;;2000-01-05;No damage;UNKNOWN;DC;;2000-01-21;Medium;0;
36;Airplane;2000-01-06;No damage;EL AL;New York;Take-off run;;Small;0;0
37;Airplane;2000-01-06;No damage;HAWAIIAN AIR;;;;Medium;0;
38;Airplane;2000-01-06;No damage;SOUTHWEST AIRLINES;Missouri;Landing Roll;;Small;0;0
39;Airplane;2000-01-06;No damage;AIRTRAN AIRWAYS;Georgia;Take-off run;2000-01-06;Small;0;0
40;Airplane;2000-01-06;No damage;AMERICA WEST AIRLINES;California;Approach;2000-01-06;Small;0;
41;Airplane;2000-01-07;No damage;AIRTOURS INTL;Florida;Landing Roll;;Small;0;0
42;Airplane;2000-01-07;No damage;DELTA AIR LINES;Florida;Landing Roll;;Medium;0;0
43;;2000-01-07;No damage;UNKNOWN;Florida;;2000-01-07;;0;
44;Airplane;2000-01-07;No damage;DELTA AIR LINES;New York;Climb;2000-01-09;Small;0;100
45;;2000-01-07;No damage;MILITARY;Texas;Approach;2002-02-19;Medium;0;800
46;Airplane;2000-01-08;No damage;AMERICAN AIRLINES;New York;Take-off run;;Small;0;0
47;Airplane;2000-01-08;No damage;TRANS WORLD AIRLINES;New York;Take-off run;;Small;0;0
48;Airplane;2000-01-08;No damage;MESABA AIRLINES;Michigan;Approach;;Small;0;200
49;Airplane;2000-01-08;No damage;NORTHWEST AIRLINES;Wisconsin;Approach;;Medium;0;50
50;Airplane;2000-01-08;No damage;UNITED AIRLINES;California;Take-off run;;Medium;0;0
51;Airplane;2000-01-08;No damage;HORIZON AIR;Oregon;Approach;;Medium;0;300
52;Airplane;2000-01-08;No damage;UNITED AIRLINES;;;;Medium;0;
53;Airplane;2000-01-08;Caused damage;PRIVATELY OWNED;Colorado;Landing Roll;;Large;66544;0
54;Airplane;2000-01-08;No damage;AMERICAN AIRLINES;Texas;Landing Roll;2000-01-08;Medium;0;0
55;Airplane;2000-01-08;No damage;AMERICA WEST AIRLINES;California;Approach;2000-01-08;Small;0;200
56;Airplane;2000-01-08;No damage;AMERICAN EAGLE AIRLINES;Florida;Climb;2000-01-08;Large;0;800
57;Airplane;2000-01-08;No damage;TRANS STATES AIRLINES;Missouri;Approach;2000-01-08;Small;0;100
58;;2000-01-08;No damage;UNKNOWN;Florida;;2000-01-08;Large;0;
59;Airplane;2000-01-09;No damage;NORTHWEST AIRLINES;Texas;Landing Roll;;Medium;0;0
60;Airplane;2000-01-09;No damage;UNITED AIRLINES;Utah;Take-off run;;Medium;0;0
61;Airplane;2000-01-09;No damage;DELTA AIR LINES;Tennessee;Climb;;;0;800
62;Airplane;2000-01-09;No damage;DELTA AIR LINES;;;;Medium;0;
